Year,Make,Model,Category,inventory_id,created_at
2007,Dodge,Dakota Quad Cab,Pickup,454,2002-09-03
1993,Lexus,SC,Coupe,455,2013-10-21
2010,Chevrolet,Express 2500 Cargo,Van/Minivan,1656,2008-10-03
2008,GMC,Sierra 1500 Crew Cab,Pickup,457,2022-05-15
2006,Volvo,V50,Wagon,458,2010-12-19
1997,Toyota,Celica,"Hatchback, Coupe, Convertible",459,2003-06-25
2012,Dodge,Journey,SUV,460,2003-04-12
2003,MAZDA,B-Series Regular Cab,Pickup,461,2007-10-21
1998,Mercury,Sable,"Wagon, Sedan",462,2022-05-19
2019,Chevrolet,Trax,SUV,463,2006-06-25
1992,Geo,Tracker,SUV,464,2010-09-30
2006,Toyota,Tundra Access Cab,Pickup,830,2016-09-03
1992,Oldsmobile,88,Sedan,466,2019-10-24
1996,Ford,Econoline E150 Cargo,Van/Minivan,467,2013-10-13
2005,Chevrolet,Colorado Crew Cab,Pickup,468,2015-06-05
1996,GMC,2500 Club Coupe,Pickup,993,2004-07-16
2014,Ford,Fusion,Sedan,470,2000-10-28
2015,Nissan,LEAF,Hatchback,1341,2000-07-07
2009,Toyota,Avalon,Sedan,472,2015-03-31
2006,Volvo,XC70,Wagon,1644,2018-03-16
2007,Isuzu,i-370 Crew Cab,Pickup,474,2015-10-11
2010,GMC,Sierra 1500 Extended Cab,Pickup,657,2007-07-30
1998,GMC,Sonoma Regular Cab,Pickup,476,2012-08-13
1999,MAZDA,Millenia,Sedan,477,2015-10-19
2008,Toyota,Tundra CrewMax,Pickup,478,2016-09-02
2006,Rolls-Royce,Phantom,Sedan,479,2003-04-04
2006,GMC,Savana 1500 Passenger,Van/Minivan,480,2003-10-30
2004,Jaguar,XK,"Coupe, Convertible",483,2002-12-29
2020,Toyota,Yaris Hatchback,Hatchback,880,2023-06-26
2004,Jaguar,XK,"Coupe, Convertible",483,2002-12-29
2005,Chevrolet,SSR,Pickup,484,2002-11-15
2001,Cadillac,DeVille,Sedan,485,2016-10-04
2001,Volkswagen,Eurovan,Van/Minivan,486,2005-11-18
1996,Mitsubishi,Galant,Sedan,487,2012-02-27
2006,Nissan,Murano,SUV,488,2001-03-30
2016,Nissan,LEAF,Hatchback,489,2003-03-02
2005,GMC,Canyon Regular Cab,Pickup,490,2023-09-01
2018,Subaru,BRZ,Coupe,491,2020-03-09
2014,MAZDA,MX-5 Miata,Convertible,492,2023-07-16
2013,Dodge,Dart,Sedan,1702,2022-10-13
2007,Chevrolet,Uplander Passenger,Van/Minivan,494,2011-02-04
2015,Tesla,Model S,Sedan,495,2017-01-27
2016,Nissan,Maxima,Sedan,496,2022-10-04
2009,Chrysler,Town & Country,Van/Minivan,497,2004-04-17
1992,Cadillac,Eldorado,Coupe,498,2008-01-01
1992,Daihatsu,Charade,"Sedan, Hatchback",499,2018-05-22
2008,Acura,TL,Sedan,500,2000-04-29
2004,Ford,Crown Victoria,Sedan,501,2010-07-17
2002,Lexus,RX,SUV,502,2022-05-16
2012,BMW,5 Series,Sedan,562,2010-09-28
1999,GMC,Savana 1500 Passenger,Van/Minivan,504,2020-05-12
1993,Honda,Prelude,Coupe,505,2009-12-18
2010,Toyota,Sienna,Van/Minivan,506,2005-03-12
2007,Nissan,350Z,"Coupe, Convertible",507,2000-11-19
1995,Oldsmobile,Cutlass Supreme,"Convertible, Sedan, Coupe",797,2014-05-09
2020,BMW,3 Series,Sedan,1283,2016-05-14
2020,Chevrolet,Corvette,"Coupe, Convertible",510,2019-09-10
2001,Honda,Odyssey,Van/Minivan,526,2023-10-28
2005,Chevrolet,TrailBlazer,SUV,512,2002-08-26
2005,Ford,F150 Super Cab,Pickup,513,2006-01-02
1996,Lexus,LS,Sedan,514,2019-09-22
1994,Acura,Legend,"Coupe, Sedan",515,2016-11-04
2015,Subaru,Outback,SUV,516,2011-07-26
2016,Ford,Focus,"Sedan, Hatchback",517,2003-02-09
2017,Lincoln,MKC,SUV,518,2007-08-05
1997,Toyota,Previa,Van/Minivan,1581,2002-06-10
2004,Ford,E250 Super Duty Cargo,Van/Minivan,520,2021-10-11
2006,Chevrolet,Express 1500 Cargo,Van/Minivan,521,2013-04-09
2012,Mercedes-Benz,C-Class,"Sedan, Coupe",522,2004-12-16
2018,BMW,4 Series,"Coupe, Sedan, Convertible",523,2011-11-01
2003,Ford,Explorer Sport Trac,Pickup,524,2014-11-22
1993,Volkswagen,Passat,"Sedan, Wagon",525,2015-07-10
2001,Honda,Odyssey,Van/Minivan,526,2023-10-28
2002,Mercedes-Benz,G-Class,SUV,527,2000-07-28
2019,Nissan,Maxima,Sedan,528,2002-01-16
2017,Acura,RLX Sport Hybrid,Sedan,529,2018-12-09
1994,Toyota,Land Cruiser,SUV,530,2006-04-26
1997,MAZDA,MX-6,Coupe,531,2011-06-18
2010,Hyundai,Accent,"Hatchback, Sedan",843,2023-03-06
2013,MAZDA,MAZDA6,Sedan,533,2001-12-01
1995,Cadillac,Seville,Sedan,1238,2015-11-14
1996,Cadillac,DeVille,Sedan,535,2021-09-25
2009,Volkswagen,New Beetle,"Hatchback, Convertible",536,2002-03-23
2007,Hyundai,Entourage,Van/Minivan,537,2012-08-02
2002,Suzuki,Aerio,"Wagon, Sedan",538,2019-06-14
2008,Lexus,LX,SUV,539,2014-01-23
1993,Dodge,Ram Wagon B250,Van/Minivan,1125,2012-09-19
1997,GMC,Suburban 2500,SUV,541,2000-04-17
2011,Ram,1500 Quad Cab,Pickup,542,2004-11-14
2018,Land Rover,Discovery,SUV,543,2013-08-26
2011,Aston Martin,Rapide,Sedan,544,2019-03-19
2016,Ford,C-MAX Energi,Wagon,545,2020-10-08
2012,Mercedes-Benz,E-Class,"Sedan, Coupe, Convertible, Wagon",546,2007-07-29
2003,Chevrolet,Avalanche 1500,Pickup,547,2021-02-12
2003,Cadillac,Escalade EXT,Pickup,548,2014-10-12
2007,GMC,Sierra (Classic) 2500 HD Extended Cab,Pickup,549,2012-04-15
2011,Dodge,Caliber,Wagon,550,2006-06-20
2004,Suzuki,Forenza,Sedan,551,2019-07-19
2012,Volkswagen,Jetta,Sedan,552,2000-12-05
2003,Hyundai,Accent,"Hatchback, Sedan",771,2012-04-10
2000,Ford,Mustang,"Convertible, Coupe",554,2008-07-02
2012,Ram,3500 Crew Cab,Pickup,555,2016-05-17
2001,MAZDA,Millenia,Sedan,556,2005-03-19
2003,Audi,allroad,Wagon,557,2019-05-06
2006,Chevrolet,Corvette,"Coupe, Convertible",558,2008-10-27
2004,Oldsmobile,Bravada,SUV,559,2004-08-19
2002,Dodge,Ram Wagon 3500,Van/Minivan,560,2018-08-21
2019,Tesla,Model X,SUV,561,2016-04-16
2012,BMW,5 Series,Sedan,562,2010-09-28
2015,BMW,X3,SUV,563,2001-08-25
2006,Dodge,Ram 3500 Quad Cab,Pickup,564,2003-03-11
2003,Oldsmobile,Silhouette,Van/Minivan,565,2012-01-10
2001,MAZDA,B-Series Cab Plus,Pickup,998,2018-04-14
2008,Volvo,S60,Sedan,567,2022-02-19
2013,Toyota,Camry,Sedan,568,2017-01-02
2004,Mercury,Mountaineer,SUV,569,2022-08-22
2015,GMC,Sierra 1500 Crew Cab,Pickup,570,2009-08-14
2008,Ford,Taurus,Sedan,571,2000-11-09
1992,Mercedes-Benz,300 SL,Convertible,572,2007-11-26
2004,Toyota,Echo,Sedan,573,2002-10-12
2018,Jaguar,XF,"Sedan, Wagon",574,2004-11-19
2019,Cadillac,ATS,Coupe,1825,2008-06-30
1992,Mercedes-Benz,300 D,Sedan,576,2009-05-29
2011,Acura,TL,Sedan,577,2007-08-14
2009,Chevrolet,Colorado Crew Cab,Pickup,578,2010-10-31
1992,Toyota,Camry,"Sedan, Wagon",579,2021-02-14
2018,Honda,Clarity Plug-in Hybrid,Sedan,580,2012-07-01
2013,Honda,Fit,Hatchback,581,2002-04-16
2009,Maserati,GranTurismo,Coupe,582,2010-02-12
1993,Dodge,Dakota Regular Cab,Pickup,583,2014-10-29
2001,Plymouth,Neon,Sedan,584,2020-07-06
2008,Jeep,Commander,SUV,1593,2020-03-15
2012,Mercedes-Benz,Sprinter 3500 Cargo,Van/Minivan,586,2003-12-03
1996,Chevrolet,Sportvan G30,Van/Minivan,587,2014-10-02
2000,Audi,A8,Sedan,588,2003-01-18
2002,Chevrolet,Suburban 1500,SUV,589,2022-07-17
2003,Volvo,V70,Wagon,590,2019-12-19
1998,Suzuki,Sidekick,SUV,591,2007-07-05
1992,Oldsmobile,Achieva,"Sedan, Coupe",592,2004-11-21
2008,Ford,F350 Super Duty Regular Cab,Pickup,593,2016-05-08
2000,Saab,5-Sep,"Wagon, Sedan",594,2015-03-22
2004,Lexus,GX,SUV,595,2017-01-15
2000,Dodge,Ram 2500 Regular Cab,Pickup,596,2018-11-23
2010,Land Rover,LR2,SUV,597,2008-05-13
2002,Daewoo,Leganza,Sedan,598,2000-01-24
2014,Volvo,XC70,Wagon,599,2017-03-15
1996,Nissan,Pathfinder,SUV,600,2013-10-06
2013,Buick,Enclave,SUV,601,2015-07-08
2003,Oldsmobile,Bravada,SUV,602,2019-12-19
2006,Chrysler,Sebring,"Sedan, Convertible",603,2023-05-10
2003,Chevrolet,SSR,Pickup,604,2013-05-04
2019,Toyota,Tundra Double Cab,Pickup,605,2016-08-06
1996,Ford,F350 Super Cab,Pickup,606,2005-06-29
2018,Hyundai,Santa Fe Sport,SUV,607,2018-04-21
2016,Aston Martin,DB9 GT,"Coupe, Convertible",608,2001-10-09
2014,Mercedes-Benz,G-Class,SUV,609,2006-11-09
2017,Aston Martin,Vantage,"Convertible, Coupe",610,2009-05-10
2020,Jeep,Wrangler Unlimited,SUV,973,2017-11-26
2013,Aston Martin,DB9,"Coupe, Convertible",612,2015-11-19
2013,Audi,S7,Sedan,1617,2000-05-10
2003,Honda,Odyssey,Van/Minivan,829,2012-12-12
1999,Nissan,Sentra,Sedan,615,2022-12-11
2006,Cadillac,STS,Sedan,616,2010-07-21
2004,Volvo,S60,Sedan,764,2011-09-02
2014,Toyota,Tacoma Regular Cab,Pickup,618,2000-01-06
2017,GMC,Sierra 3500 HD Crew Cab,Pickup,619,2007-12-24
1999,Ford,Econoline E350 Cargo,Van/Minivan,620,2020-05-29
1997,Toyota,Supra,Hatchback,621,2006-06-19
1992,Chevrolet,Camaro,"Hatchback, Convertible",622,2011-04-11
2017,Dodge,Grand Caravan Passenger,Van/Minivan,623,2005-07-22
2004,Acura,RL,Sedan,624,2004-02-24
2015,Volkswagen,Jetta,Sedan,625,2017-05-26
2001,Chevrolet,Express 3500 Cargo,Van/Minivan,626,2005-04-23
2009,MAZDA,MAZDA3,"Sedan, Hatchback",627,2002-05-22
1995,Ford,Windstar Passenger,Van/Minivan,1542,2020-12-31
2004,Acura,TL,Sedan,629,2018-04-01
2017,INFINITI,QX60,SUV,630,2015-12-31
1999,Volkswagen,GTI (New),Hatchback,631,2006-12-05
1995,GMC,Safari Passenger,Van/Minivan,632,2023-02-05
2016,BMW,X4,SUV,633,2015-11-22
1999,Honda,Accord,"Coupe, Sedan",634,2020-06-11
2004,Kia,Spectra,"Sedan, Hatchback",635,2010-05-23
2005,INFINITI,FX,SUV,1749,2020-07-04
2016,Volkswagen,CC,Sedan,637,2004-03-07
1992,Cadillac,Seville,Sedan,638,2021-08-18
2008,Mercedes-Benz,R-Class,Wagon,639,2015-06-02
2012,Mercedes-Benz,Sprinter 2500 Crew,Van/Minivan,640,2009-04-13
2011,Chevrolet,Express 2500 Cargo,Van/Minivan,641,2018-11-11
2012,McLaren,MP4-12C,Coupe,1595,2002-07-18
2002,Toyota,Camry,Sedan,643,2016-05-26
2014,Audi,A7,Sedan,644,2017-08-16
2000,Dodge,Viper,"Convertible, Coupe",1671,2019-07-23
2004,Honda,Accord,"Sedan, Coupe",646,2016-09-18
2006,GMC,Canyon Regular Cab,Pickup,647,2020-07-18
2014,Ram,1500 Quad Cab,Pickup,648,2017-04-29
2012,Mercedes-Benz,SLS-Class,"Convertible, Coupe",649,2005-09-30
2008,Jeep,Wrangler,SUV,650,2010-08-19
2014,Hyundai,Azera,Sedan,651,2018-07-01
2018,Audi,S5,"Sedan, Coupe, Convertible",652,2015-10-28
2019,Ford,F350 Super Duty Crew Cab,Pickup,653,2002-01-14
2020,Cadillac,Escalade ESV,SUV,654,2002-02-08
2019,Ford,F350 Super Duty Super Cab,Pickup,655,2020-01-24
1992,Nissan,Maxima,Sedan,656,2022-10-24
2010,GMC,Sierra 1500 Extended Cab,Pickup,657,2007-07-30
2013,Lexus,CT,Hatchback,658,2008-12-23
2002,Chrysler,Town & Country,Van/Minivan,659,2004-01-17
2010,Volvo,S40,Sedan,660,2022-12-08
2009,Toyota,Tundra Double Cab,Pickup,661,2017-12-19
2010,Volvo,C70,Convertible,662,2016-02-16
2012,Chevrolet,Cruze,Sedan,663,2008-12-17
2015,INFINITI,QX60,SUV,664,2023-09-18
2017,Chevrolet,Express 3500 Passenger,Van/Minivan,665,2017-10-15
2001,Dodge,Durango,SUV,666,2003-03-28
2002,Chevrolet,Express 2500 Passenger,Van/Minivan,667,2009-05-31
2020,Honda,Passport,SUV,668,2016-11-16
2008,Dodge,Dakota Extended Cab,Pickup,669,2011-08-03
2000,Nissan,Sentra,Sedan,1258,2013-08-27
2000,Mercury,Mountaineer,SUV,1988,2019-06-17
2007,Chrysler,Town & Country,Van/Minivan,1843,2004-01-13
2014,BMW,X3,SUV,673,2017-12-21
2016,GMC,Savana 2500 Cargo,Van/Minivan,674,2013-11-21
1993,GMC,1500 Regular Cab,Pickup,675,2005-11-30
2012,Honda,Civic,"Coupe, Sedan",676,2007-11-18
2013,MAZDA,MAZDA2,Hatchback,677,2019-05-08
2009,Toyota,RAV4,SUV,678,2023-02-12
1993,Volkswagen,Jetta III,Sedan,679,2013-04-24
1993,Ford,Ranger Regular Cab,Pickup,680,2021-01-27
2000,Mercedes-Benz,C-Class,Sedan,681,2010-10-30
2016,Acura,RDX,SUV,682,2018-02-28
1994,Pontiac,Trans Sport,Van/Minivan,683,2006-03-15
1996,Dodge,Ram Van 2500,Van/Minivan,684,2008-02-19
1998,Hyundai,Sonata,Sedan,685,2011-11-01
2000,Chevrolet,Express 3500 Cargo,Van/Minivan,686,2012-01-03
2017,MINI,Hardtop 2 Door,Hatchback,687,2019-01-22
1999,Mercedes-Benz,CL-Class,Coupe,688,2016-03-16
1998,Acura,TL,Sedan,858,2003-04-12
2013,Nissan,LEAF,Hatchback,1432,2023-07-25
2020,BMW,X5,SUV,691,2012-03-11
2014,Mitsubishi,i-MiEV,Hatchback,692,2001-11-26
2001,Toyota,Sequoia,SUV,693,2000-04-26
2020,Kia,Optima,Sedan,694,2002-12-15
1995,Toyota,Tacoma Regular Cab,Pickup,695,2023-09-30
2006,Pontiac,Montana SV6,Van/Minivan,696,2011-11-22
2003,Dodge,Ram 3500 Quad Cab,Pickup,697,2012-11-05
2005,Jaguar,XK,"Coupe, Convertible",698,2016-09-23
2019,BMW,M5,Sedan,699,2006-01-07
1996,Kia,Sephia,Sedan,700,2019-02-27
2011,Mitsubishi,Galant,Sedan,701,2011-03-30
1994,Ford,F150 Super Cab,Pickup,702,2003-11-15
2004,Audi,A8,Sedan,703,2015-10-16
2014,Honda,Odyssey,Van/Minivan,704,2010-05-04
2005,Toyota,Matrix,Wagon,705,2008-04-02
2005,GMC,Envoy,SUV,1785,2009-12-25
2009,GMC,Sierra 1500 Crew Cab,Pickup,1384,2012-01-13
2008,Chevrolet,Silverado 1500 Crew Cab,Pickup,708,2002-06-01
2018,McLaren,570S,"Coupe, Convertible",1855,2007-10-23
1998,GMC,3500 Club Coupe,Pickup,710,2012-09-12
2017,BMW,7 Series,Sedan,711,2018-03-23
2002,Toyota,Prius,Sedan,712,2019-01-25
2012,Audi,A3,Wagon,713,2006-12-17
2010,Hyundai,Accent,"Hatchback, Sedan",843,2023-03-06
2020,Chevrolet,Silverado 3500 HD Crew Cab,Pickup,715,2014-02-02
1993,Acura,Integra,"Hatchback, Sedan",716,2009-06-28
2007,Cadillac,CTS,Sedan,717,2003-11-15
2012,Nissan,Altima,"Coupe, Sedan",718,2000-11-26
2003,Honda,CR-V,SUV,719,2011-02-08
2015,Jeep,Cherokee,SUV,720,2008-03-03
2017,Freightliner,Sprinter 3500 Cargo,Van/Minivan,721,2004-11-01
2009,Maybach,62,Sedan,722,2022-03-31
2017,Chevrolet,Express 2500 Cargo,Van/Minivan,723,2012-11-15
2008,Hyundai,Veracruz,SUV,724,2023-05-17
2019,Mitsubishi,Eclipse Cross,SUV,725,2003-11-19
2011,Jeep,Patriot,SUV,726,2005-09-24
2007,Dodge,Dakota Club Cab,Pickup,727,2003-12-12
2016,Audi,A5,"Coupe, Convertible",728,2020-04-20
2003,Dodge,Ram 2500 Quad Cab,Pickup,729,2017-12-15
2003,HUMMER,H2,SUV,730,2022-01-09
2016,Dodge,Charger,Sedan,731,2004-01-04
2014,Cadillac,Escalade,SUV,732,2009-07-24
1996,MAZDA,MPV,Van/Minivan,733,2005-10-09
2007,Hyundai,Elantra,Sedan,734,2020-10-12
2014,Chevrolet,Traverse,SUV,735,2005-10-19
2001,GMC,Sonoma Crew Cab,Pickup,736,2000-03-15
2000,Dodge,Avenger,Coupe,737,2007-01-02
1995,Ford,Thunderbird,Coupe,738,2010-03-18
1992,GMC,Rally Wagon 3500,Van/Minivan,739,2008-04-26
1997,Chevrolet,Lumina,Sedan,740,2013-12-20
2013,Volkswagen,GTI,Hatchback,741,2014-03-08
2019,Toyota,Tundra CrewMax,Pickup,742,2005-02-07
2012,Porsche,911,"Coupe, Convertible",743,2019-08-25
1998,Chevrolet,Metro,"Hatchback, Sedan",744,2010-06-09
1992,Dodge,D250 Regular Cab,Pickup,745,2017-04-10
2020,Ford,Mustang,"Coupe, Convertible",746,2012-02-13
2004,Subaru,Impreza,"Wagon, Sedan",747,2006-05-22
2006,Hyundai,Azera,Sedan,748,2017-05-05
2003,Chevrolet,Corvette,"Coupe, Convertible",749,2020-01-05
2010,MAZDA,CX-9,SUV,750,2023-02-07
2001,Dodge,Ram 3500 Regular Cab,Pickup,751,2022-10-24
1996,Pontiac,Sunfire,"Sedan, Coupe, Convertible",1805,2017-05-27
2015,Mercedes-Benz,Sprinter 3500 Cargo,Van/Minivan,753,2004-11-27
2007,Ford,Expedition EL,SUV,754,2020-10-04
2009,Chevrolet,Aveo,"Sedan, Hatchback",755,2002-02-09
1998,Toyota,Corolla,Sedan,756,2019-10-15
2013,BMW,X5,SUV,757,2009-03-27
2020,Ford,Ranger SuperCab,Pickup,758,2018-12-20
2018,Lexus,LX,SUV,759,2018-12-30
1998,Pontiac,Firebird,"Coupe, Convertible",760,2003-01-05
2002,Subaru,Forester,SUV,761,2000-03-31
2010,Aston Martin,DBS,"Coupe, Convertible",762,2012-09-14
2000,Toyota,4Runner,SUV,763,2015-10-22
2004,Volvo,S60,Sedan,764,2011-09-02
1999,Mercedes-Benz,M-Class,SUV,765,2002-12-12
2002,Toyota,Corolla,Sedan,766,2010-11-29
2015,Audi,S5,"Coupe, Convertible",767,2008-01-05
1993,Saab,900,"Hatchback, Sedan, Convertible",768,2019-07-18
1994,Dodge,Ram Wagon B150,Van/Minivan,1129,2015-01-05
2008,GMC,Canyon Extended Cab,Pickup,770,2015-08-20
2003,Hyundai,Accent,"Hatchback, Sedan",771,2012-04-10
2009,Ford,Flex,SUV,1826,2018-09-02
2017,Nissan,Maxima,Sedan,773,2004-11-28
2016,Toyota,RAV4,SUV,774,2013-07-24
1993,Volvo,960,"Sedan, Wagon",775,2012-02-28
1994,GMC,Safari Passenger,Van/Minivan,776,2008-08-06
1997,Dodge,Ram 3500 Regular Cab,Pickup,777,2014-04-03
2009,Honda,Odyssey,Van/Minivan,778,2017-09-10
2010,Audi,R8,Coupe,779,2022-07-23
1997,Dodge,Grand Caravan Passenger,Van/Minivan,780,2004-10-03
2003,Audi,S8,Sedan,781,2015-02-24
2015,Audi,R8,"Coupe, Convertible",1925,2005-05-22
2013,Acura,MDX,SUV,783,2018-08-19
1993,Ford,Probe,Hatchback,784,2003-12-08
1999,Land Rover,Discovery,SUV,785,2001-04-09
2004,Toyota,Tundra Regular Cab,Pickup,786,2005-08-17
1992,Audi,Quattro,Sedan,787,2006-08-28
2017,Jaguar,XJ,Sedan,1426,2011-03-20
2020,Hyundai,Accent,Sedan,789,2001-03-16
2013,Volkswagen,Beetle,"Hatchback, Convertible",790,2011-10-02
2006,Mercedes-Benz,CL-Class,Coupe,791,2008-06-06
2006,Subaru,B9 Tribeca,SUV,792,2000-02-15
1992,Pontiac,Sunbird,"Sedan, Coupe, Convertible",793,2018-11-18
2003,Ford,F250 Super Duty Regular Cab,Pickup,794,2020-06-07
2012,Nissan,Rogue,SUV,795,2021-06-21
2005,Toyota,Prius,Hatchback,796,2015-05-28
1995,Oldsmobile,Cutlass Supreme,"Convertible, Sedan, Coupe",797,2014-05-09
2005,Hyundai,Elantra,"Hatchback, Sedan",798,2010-08-26
2014,Nissan,Murano,SUV,799,2008-02-10
2013,Ford,C-MAX Energi,Wagon,800,2002-03-05
2008,Dodge,Ram 1500 Mega Cab,Pickup,801,2015-03-10
2017,Mitsubishi,Outlander,SUV,802,2007-11-15
1998,Saturn,S-Series,"Coupe, Sedan, Wagon",803,2021-06-16
1994,INFINITI,J,Sedan,804,2012-04-10
2019,Kia,Rio,"Sedan, Hatchback",805,2008-06-05
2016,Scion,FR-S,Coupe,806,2021-04-12
2009,Porsche,Cayenne,SUV,807,2007-09-20
1994,BMW,3 Series,"Sedan, Coupe, Convertible",808,2012-02-13
2004,Porsche,911,"Convertible, Coupe",1385,2001-07-06
2018,Toyota,Avalon Hybrid,Sedan,810,2022-07-17
1994,Toyota,Supra,Hatchback,811,2007-03-20
2019,Volkswagen,Golf Alltrack,Wagon,812,2003-07-29
1995,Chevrolet,Tahoe,SUV,813,2019-02-13
1993,Toyota,Tercel,"Coupe, Sedan",814,2012-07-12
2010,Chevrolet,Colorado Regular Cab,Pickup,815,2016-12-29
1995,Volkswagen,GTI,Hatchback,816,2011-07-30
2012,Scion,xD,Hatchback,817,2004-05-24
2015,Kia,Optima Hybrid,Sedan,1770,2019-12-22
1995,Toyota,Supra,Hatchback,819,2002-12-06
2009,Kia,Sedona,Van/Minivan,820,2006-06-11
2018,MAZDA,CX-3,SUV,905,2011-12-09
1996,Chevrolet,Caprice Classic,"Sedan, Wagon",822,2014-04-19
2007,Saturn,Aura,Sedan,823,2017-12-29
1998,Isuzu,Amigo,SUV,824,2003-12-12
2007,Aston Martin,DB9,"Convertible, Coupe",825,2006-06-25
2002,Toyota,Sequoia,SUV,826,2017-04-13
1996,Chevrolet,1500 Regular Cab,Pickup,827,2006-11-03
2016,Volvo,XC90,SUV,828,2010-10-31
2003,Honda,Odyssey,Van/Minivan,829,2012-12-12
2006,Toyota,Tundra Access Cab,Pickup,830,2016-09-03
2010,Mitsubishi,Lancer,"Sedan, Hatchback",1007,2012-07-16
2006,Kia,Amanti,Sedan,832,2006-08-28
2007,GMC,Sierra (Classic) 1500 HD Crew Cab,Pickup,833,2003-12-15
2009,Audi,S6,Sedan,834,2015-10-21
2015,Scion,tC,Coupe,835,2013-01-13
1995,Oldsmobile,Aurora,Sedan,836,2018-04-30
1993,Plymouth,Voyager,Van/Minivan,837,2011-03-12
2017,Rolls-Royce,Ghost,Sedan,838,2016-04-21
2015,GMC,Canyon Extended Cab,Pickup,1764,2013-09-03
2008,Toyota,Sienna,Van/Minivan,840,2013-02-22
1994,Ford,Econoline E350 Cargo,Van/Minivan,841,2014-03-18
2019,Chevrolet,Traverse,SUV,842,2017-07-24
2010,Hyundai,Accent,"Hatchback, Sedan",843,2023-03-06
2001,Ford,ZX2,Coupe,844,2011-07-09
2017,Audi,R8,"Coupe, Convertible",845,2015-09-28
2013,Audi,A6,Sedan,846,2023-08-26
2013,Audi,A4,Sedan,1813,2000-05-29
2013,Nissan,Murano,SUV,848,2012-05-19
2009,INFINITI,G,"Coupe, Sedan, Convertible",849,2015-03-27
2009,BMW,M3,"Coupe, Sedan, Convertible",1154,2020-04-23
2003,Honda,S2000,Convertible,851,2004-07-07
1996,Chevrolet,Impala,Sedan,852,2023-11-16
2011,Volvo,XC70,Wagon,853,2017-03-04
2009,Saturn,Outlook,SUV,854,2009-02-20
2008,Subaru,Tribeca,SUV,855,2008-01-26
2015,GMC,Savana 2500 Passenger,Van/Minivan,1680,2019-01-19
2002,Ford,Excursion,SUV,857,2021-07-09
1998,Acura,TL,Sedan,858,2003-04-12
2004,Chrysler,Concorde,Sedan,859,2008-05-05
1993,GMC,Rally Wagon 2500,Van/Minivan,860,2017-08-03
2011,Porsche,Panamera,Sedan,861,2016-03-13
2020,Chevrolet,Tahoe,SUV,862,2010-11-24
2018,Ferrari,488 GTB,Coupe,1612,2008-01-08
2012,BMW,7 Series,Sedan,1232,2004-03-15
2018,Audi,A4 allroad,Wagon,865,2008-08-04
2004,Ford,F250 Super Duty Super Cab,Pickup,866,2010-01-05
2018,Audi,S7,Sedan,867,2006-07-16
2003,Kia,Spectra,"Sedan, Hatchback",868,2007-03-07
2013,Subaru,Tribeca,SUV,869,2010-03-19
2017,Acura,NSX,Coupe,1370,2007-02-18
2019,Chevrolet,Silverado 2500 HD Regular Cab,Pickup,871,2018-04-18
2012,Toyota,RAV4,SUV,872,2016-03-20
2016,MINI,Hardtop 4 Door,Hatchback,873,2002-07-02
1998,Chevrolet,2500 Extended Cab,Pickup,1181,2019-08-30
2011,Ford,F150 SuperCrew Cab,Pickup,875,2018-10-06
2019,GMC,Sierra 2500 HD Double Cab,Pickup,1158,2007-03-28
2011,Buick,LaCrosse,Sedan,877,2019-03-08
2010,GMC,Savana 1500 Passenger,Van/Minivan,1910,2004-03-11
2006,Chevrolet,TrailBlazer,SUV,879,2001-11-01
2020,Toyota,Yaris Hatchback,Hatchback,880,2023-06-26
2011,Nissan,370Z,"Coupe, Convertible",881,2012-10-16
2014,Ford,C-MAX Hybrid,Wagon,882,2010-08-04
2004,Volvo,S80,Sedan,883,2009-09-30
2012,Kia,Forte,"Sedan, Hatchback, Coupe",884,2021-03-26
2018,Toyota,Avalon,Sedan,885,2014-10-07
2007,Lotus,Exige S,Coupe,886,2011-02-07
2007,GMC,Sierra 3500 HD Crew Cab,Pickup,887,2002-06-15
1996,Land Rover,Range Rover,SUV,888,2010-09-15
1996,Isuzu,Rodeo,SUV,889,2020-03-27
1999,Chevrolet,Lumina,Sedan,890,2006-05-21
1999,Pontiac,Bonneville,Sedan,891,2011-10-27
2018,Kia,Forte5,Hatchback,892,2019-09-03
1996,Oldsmobile,Bravada,SUV,893,2021-05-07
2019,Lexus,NX,SUV,894,2014-07-23
2017,Ford,F350 Super Duty Crew Cab,Pickup,1074,2020-08-19
2015,BMW,i3,Hatchback,896,2004-09-28
2017,Toyota,Prius v,Wagon,897,2020-08-19
2006,Nissan,Titan Crew Cab,Pickup,898,2013-11-24
1999,Pontiac,Sunfire,"Coupe, Sedan, Convertible",899,2001-07-27
2003,MAZDA,B-Series Cab Plus,Pickup,900,2006-11-12
1999,Suzuki,Vitara,SUV,901,2018-02-12
2017,Ford,Transit 150 Van,Van/Minivan,902,2021-08-27
2019,Chrysler,Pacifica Hybrid,Van/Minivan,903,2021-11-17
2018,Freightliner,Sprinter 2500 Cargo,Van/Minivan,904,2019-04-27
2018,MAZDA,CX-3,SUV,905,2011-12-09
1992,Subaru,SVX,Coupe,906,2015-05-20
2016,BMW,Z4,Convertible,907,2001-09-08
2008,Saturn,VUE,SUV,908,2000-09-26
2001,Hyundai,Elantra,"Hatchback, Sedan",909,2014-07-24
2018,Rolls-Royce,Ghost,Sedan,910,2012-06-15
